cust_id	fname	lname	address	city	state	zipcode
1000000	Quentin	Shepard	32092 West 10th Street	Prairie City	SD	57649
1000001	Brandon	Louis	1311 North 2nd Street	Clearfield	IA	50840
1000002	Marilyn	Ham	25831 North 25th Street	Concord	CA	94522
1000003	Mister	Tee	11596 West 1st Street	Sterling	KS	67579
1000004	Nunya	Beeswax	3044 West 21st Street	Phoenix	AZ	85017
1000005	Michael	Eller	24326 West 11th Street	Germantown	IL	62245
1000006	Gerard	Franks	356 Turner Street	Pioneer	CA	95666
1000007	Deborah	Carson	4033 East 21st Street	Arbon	ID	83212
1000008	Thomas	Brush	20643 North 12th Street	Poland	ME	04274
1000009	Bartman	Simpsonite	1748 East Fairbanks Road	Alto Pass	IL	62905
1000010	Mason	Preston	2656 West 13th Street	Redwood Valley	CA	95470
1000011	Melissa	Sweet	13060 West 17th Street	Wilder	TN	38589
1000012	Pamela	Cortez	2279 North Mulberry Avenue	San Francisco	CA	94126
1000013	Don	Juan	22420 East 12th Street	Denver	CO	80279
1000014	Margaret	Sparks	32291 West 21st Street	Clearlake Park	CA	95424
1000015	Debra	McArthur	1477 Neely Road	Garberville	CA	95542
1000016	Fletch	Fletcher	34896 West 2nd Street	Hughson	CA	95326
1000017	Alan	Stanwyk	32 East Prospect Road	Tracy	CA	95378
1000018	Joe	Mama	2306 Clayton Road	Louisville	KY	40228
1000019	Nancy	Lawler	3299 North 20th Street	Grass Valley	CA	95945
1000020	Diana	Lamb	1370 West Carondelet Boulevard	Cool	CA	95614
1000021	Susan	Phillips	34777 North 14th Street	Boise	ID	83723
1000022	Walter	McNutt	11824 13th Street	Moccasin	CA	95347
1000023	Flora	Farnsworth	14270 West 10th Street	Arvada	CO	80005
1000024	Oliver	Jackson	2924 East 4th Street	San Francisco	CA	94101
1000025	Johnny	Harrison	2252 Broad Road	Longville	MN	56655
1000026	Margie	Case	24383 West 6th Street	Calistoga	CA	94515
1000027	William	Mcmahon	133 East 11th Street	Fairfax	CA	94930
1000028	Charles	Claypool	12056 West 18th Street	Sacramento	CA	94240
1000029	Janet	Grace	1591 East 20th Street	Kenefic	OK	74748
1000030	Carlos	Green	27527 North 13th Street	Skamokawa	WA	98647
1000031	Douglas	Ewing	1907 North 8th Street	Deerbrook	WI	54424
1000032	Adam	Meadows	14690 North 17th Street	San Jose	CA	95139
1000033	Shane	Harris	2245 West 5th Street	San Francisco	CA	94146
1000034	Don	Dennis	3376 West 7th Street	Mesquite	NV	89024
1000035	Richard	Diaz	30283 West 21st Street	Storrie	CA	95980
1000036	Adriana	Desjardins	2544 East 3rd Street	Wasta	SD	57791
1000037	Micah	Beech	1467 Norton Road	Demorest	GA	30535
1000038	Diane	Whitney	3798 East 16th Street	Solomon	AZ	85551
1000039	Michael	Mccray	1951 Martin Road	Reinbeck	IA	50669
1000040	Margaret	Mcconnell	1114 East 25th Street	Auburn	CA	95603
1000041	Martha	Heilman	1169 Snowden Place	Evanston	IL	60208
1000042	Alberto	Durbin	2978 West 14th Street	Oxbow	OR	97840
1000043	Jackie	Horn	2125 West State Avenue	Wascott	WI	54890
1000044	Jacqueline	Sample	103 West Hartley Drive	Coronado	CA	92178
1000045	Sharon	Le	1839 North Fairbanks Boulevard	Pike	NY	14130
1000046	Janet	Hoffman	22208 East 17th Street	Pescadero	CA	94060
1000047	Chris	Erickson	2419 West 17th Street	Foley	MN	56329
1000048	Ricardo	Ritchie	1130 Central Avenue	Mendota	CA	93640
1000049	Elijah	Nelson	260 Field Road	Garberville	CA	95542
1000050	Elliot	Holmes	18 West Snowden Boulevard	Wilkeson	WA	98396
1000051	Barbara	Cleveland	22056 North 5th Street	Calhoun	MO	65323
1000052	Chris	Liles	2113 North 19th Street	Rescue	CA	95672
1000053	Devin	Fox	1060 East Taylor Highway	Redding	CA	96001
1000054	Linda	Nelson	1362 East 8th Street	Milton	WA	98354
1000055	Joseph	Sweet	1018 North Laurel Road	Fostoria	KS	66426
1000056	Mary	Marlow	1659 West Maple Road	Norfolk	VA	23551
1000057	Angela	Gage	2838 West 17th Street	Keyport	WA	98345
1000058	Janet	Ashley	1190 Madison Road	Coffeyville	KS	67337
1000059	Jackson	Wall	1474 West 22nd Street	Teays	WV	25569
1000060	Phillip	Dabbs	26966 West 11th Street	Stevinson	CA	95374
1000061	Jamie	Guerrero	23452 East 16th Street	Warroad	MN	56763
1000062	Nancy	Driscoll	1095 East Magazine Road	Chesterfield	MO	63017
1000063	Morgan	Perez	1108 North 11th Street	Eldorado Springs	CO	80025
1000064	Joshua	Sandoval	11174 North 23rd Street	Joseph City	AZ	86032
1000065	Juanita	Zielinski	26711 North 20th Street	Oakland	CA	94617
1000066	Gerry	Koch	3236 East 15th Street	Waconia	MN	55387
1000067	Scott	March	20564 North 15th Street	Memphis	TN	38110
1000068	Inez	Bautista	255 North 16th Street	New Memphis	IL	62266
1000069	Moises	Becker	29403 North 1st Street	Hathaway Pines	CA	95233
1000070	Pablo	Brooks	1418 East 16th Street	Banks	OR	97106
1000071	Barbara	Nelson	286 North 7th Street	Princeton	IA	52768
1000072	Sandra	Vargas	3156 North 3rd Street	Truesdale	IA	50592
1000073	Elizabeth	Macdonald	21917 West 18th Street	Mora	MN	55051
1000074	Bobby	Bryan	2629 North 4th Street	Superior	AZ	85273
1000075	George	Crouse	1051 East Redwood Avenue	Amador City	CA	95601
1000076	Dianne	Plummer	11034 North 12th Street	Tempe	AZ	85282
1000077	Rob	Velez	1108 West Quinn Boulevard	San Diego	CA	92133
1000078	Jill	Amador	1038 Prospect Road	Van Nuys	CA	91497
